Crop,LMOD Template,Cover Crop,change name,Yield Adjusted,Estimated Non-Irrigated Yield,Land Use - Fieldprint,Energy Use - Total Energy,Energy Use - Fieldprint,Energy Use - Application - Fieldprint,Energy Use - Irrigation - Fieldprint,Energy Use - Management - Fieldprint,Energy Use - Manure Loading - Fieldprint,Energy Use - Post Harvest - Fieldprint,Energy Use - Seed - Fieldprint,Energy Use - Transportation - Fieldprint,Greenhouse Gas - Total Greenhouse,Greenhouse Gas - Fieldprint,Greenhouse Gas - Application - Fieldprint,Greenhouse Gas - Irrigation - Fieldprint,Greenhouse Gas - Management - Fieldprint,Greenhouse Gas - Manure Loading - Fieldprint,Greenhouse Gas - Post Harvest - Fieldprint,Greenhouse Gas - Residue Burning - Fieldprint,Greenhouse Gas - Rice - Fieldprint,Greenhouse Gas - Seed - Fieldprint,Greenhouse Gas - Transportation - Fieldprint,Greenhouse Gas - Nitrous Oxide - Fieldprint,Soil Conservation - Fieldprint,Soil Conservation - Water Fieldprint,Soil Conservation - Wind Fieldprint,Irrigation Water Use - Fieldprint,Soil Carbon - Fieldprint,Water Quality - Fieldprint,Water Quality - Field,Water Quality - Nutrient,Water Quality - Pest,Water Quality - Tillage,Biodiversity - Fieldprint,Nitrogen,Phosphorus,Potassium,changes
Alfalfa,FTM Region 12 - Alfalfa - Conventional Tillage,False,base,4.4,2.2,0.22727273,10707162.07283521,2433445.92564437,726909.71590909,1147639.68921028,453894.54545455,45934.78359056,683.79,3437.81958333,109891.1637931,47364.88791459,10764.74725332,75.2167017,306.06939262,74.39819613,7.52931818,0.09497083,95.0,0.0,0.15420455,18.01234326,10197.27829767,2.60909348,0.0017,2.60739348,17.18181818,-0.202,7.20138184,7.1875,3.25,2.0,5,0.6984127,25.0,40.0,100.0,base
Alfalfa,FTM Region 12 - Alfalfa - Reduced Tillage,False,base,4.4,2.2,0.22727273,10295715.07283521,2339935.24382618,726909.71590909,1147639.68921028,360383.86363636,45934.78359056,683.79,3437.81958333,109891.1637931,47297.44732755,10749.41984717,75.2167017,306.06939262,59.07078998,7.52931818,0.09497083,95.0,0.0,0.15420455,18.01234326,10197.27829767,0.0013,0.0013,0.0,17.18181818,0.082,7.7320459,7.1875,3.25,2.0,7.5,0.73544974,25.0,40.0,100.0,base
Alfalfa,FTM Region 12 - Alfalfa - No till,False,base,4.4,2.2,0.22727273,10106172.07283521,2296857.28928073,726909.71590909,1147639.68921028,317305.90909091,45934.78359056,683.79,3437.81958333,109891.1637931,47266.37919194,10742.35890726,75.2167017,306.06939262,52.00985007,7.52931818,0.09497083,95.0,0.0,0.15420455,18.01234326,10197.27829767,0.0005,0.0005,0.0,17.18181818,0.244,8.32904297,7.5,3.25,2.0,10,0.77248677,25.0,40.0,100.0,base
Barley,FTM Region 12 - Barley - No till,False,base,112.0,44.0,0.00892857,9097297.08147061,81225.86679884,34173.44378431,34351.11994915,2713.90105577,5413.74235174,2088.0,1526.29235491,959.36730296,2997.16240615,26.76037863,3.23354963,9.16126073,0.44483756,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,0.0004,0.0004,0.0,0.42352941,0.538,8.18076172,8.0,3.25,2.0,10,0.77248677,72.0,11.0,10.0,base
Barley,FTM Region 12 - Barley - Reduced Tillage - Cover Crop,True,base,112.0,44.0,0.00892857,9350323.07917305,83485.02749262,34173.44378431,34351.11994915,4973.06174954,5413.74235174,2088.0,1526.29235491,959.36730296,3038.63608762,27.13067935,3.23354963,9.16126073,0.81513829,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,1.85588648,0.0006,1.85528648,0.42352941,-0.001,7.30751465,7.6875,3.25,2.0,5,0.82433862,72.0,11.0,10.0,base
Barley,FTM Region 12 - Barley - Reduced Tillage,False,base,112.0,44.0,0.00892857,9334185.08400069,83340.93825001,34173.44378431,34351.11994915,4828.97250693,5413.74235174,2088.0,1526.29235491,959.36730296,3035.99089671,27.10706158,3.23354963,9.16126073,0.79152051,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,2.20983551,0.0008,2.20903551,0.42352941,-0.05,7.30751465,7.6875,3.25,2.0,5,0.73544974,72.0,11.0,10.0,base
Barley,FTM Region 12 - Barley - Conventional Tillage - Cover Crop,True,base,112.0,44.0,0.00892857,9638142.0022471,86054.83930578,34173.44378431,34351.11994915,7542.8735627,5413.74235174,2088.0,1526.29235491,959.36730296,3085.81270365,27.55189914,3.23354963,9.16126073,1.23635808,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,10.57163824,0.0011,10.57053824,0.42352941,-0.996,6.5577832,7.625,3.25,2.0,2,0.78730159,72.0,11.0,10.0,base
Barley,FTM Region 12 - Barley - Conventional Tillage,False,base,112.0,44.0,0.00892857,9622004.00707474,85910.75006317,34173.44378431,34351.11994915,7398.78432009,5413.74235174,2088.0,1526.29235491,959.36730296,3083.16751273,27.52828136,3.23354963,9.16126073,1.2127403,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,11.50570369,0.0015,11.50420369,0.42352941,-1.0,6.5577832,7.625,3.25,2.0,2,0.6984127,72.0,11.0,10.0,base
Barley,FTM Region 12 - Barley - No till - Cover Crop,True,base,112.0,44.0,0.00892857,9158295.7421221,81770.49769752,34173.44378431,34351.11994915,3258.53195445,5413.74235174,2088.0,1526.29235491,959.36730296,3007.16074247,26.84964949,3.23354963,9.16126073,0.53410842,0.887375,0.39589886,2.69424336,0.0,0.37538287,0.15725062,9.41058,0.0005,0.0005,0.0,0.42352941,0.522,8.40864258,7.875,3.25,2.0,10,0.86137566,72.0,11.0,10.0,base
Corn silage,FTM Region 12 - Corn silage - Conventional Tillage,False,base,25.0,0.0,0.04,13449326.89905283,537973.07596211,225184.72092465,221221.21247254,28207.43890127,24253.56573581,0.0,155.82542784,38950.3125,6118.14561662,244.72582466,25.76676356,58.99851911,4.62350251,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,5.82916877,0.0077,5.82146877,1.656,-0.61,6.28224609,7.0,3.25,2.0,2,0.6984127,127.0,11.0,1.0,base
Corn silage,FTM Region 12 - Corn silage - Reduced Tillage,False,base,25.0,0.0,0.04,13299791.34745572,531991.65389823,225184.72092465,221221.21247254,22226.01683738,24253.56573581,0.0,155.82542784,38950.3125,6093.63513195,243.74540528,25.76676356,58.99851911,3.64308313,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,10.00319052,0.009,9.99419052,1.656,-0.711,7.16158203,7.0,3.25,2.0,5,0.73544974,127.0,11.0,1.0,base
Corn silage,FTM Region 12 - Corn silage - No till,False,base,25.0,0.0,0.04,13114130.37547277,524565.21501891,225184.72092465,221221.21247254,14799.57795807,24253.56573581,0.0,155.82542784,38950.3125,6063.20330248,242.5281321,25.76676356,58.99851911,2.42580995,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,31.9360986,0.0059,31.9301986,1.656,-1.0,8.20964355,6.9375,3.25,2.0,10,0.77248677,127.0,11.0,1.0,base
Potatoes,FTM Region 12 - Potatoes - Conventional Tillage,False,base,350.0,150.0,0.00285714,15498877.50030988,44282.50714374,26390.90591195,5725.18665819,3082.92814721,1732.39755256,0.0,5413.16692186,1937.92195197,6730.9779323,19.23136552,3.47912082,1.52687679,0.50532507,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,2.26923581,0.0089,2.26033581,0.075,-0.792,6.25469238,6.9375,3.25,2.0,2,0.6984127,200.0,120.0,100.0,base
Potatoes,FTM Region 12 - Potatoes - Reduced Tillage,False,base,350.0,150.0,0.00285714,15153613.23662229,43296.03781892,26390.90591195,5725.18665819,2096.45882239,1732.39755256,0.0,5413.16692186,1937.92195197,6674.38540731,19.06967259,3.47912082,1.52687679,0.34363214,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,1.96198708,0.0041,1.95788708,0.075,-0.376,6.25469238,6.9375,3.25,2.0,2,0.73544974,200.0,120.0,100.0,base
Potatoes,FTM Region 12 - Potatoes - No till,False,base,350.0,150.0,0.00285714,14916725.23409222,42619.21495455,26390.90591195,5725.18665819,1419.63595802,1732.39755256,0.0,5413.16692186,1937.92195197,6635.55691675,18.95873405,3.47912082,1.52687679,0.2326936,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,2.81653379,0.0084,2.80813379,0.075,-0.162,7.67897949,6.9375,3.25,2.0,7.5,0.77248677,200.0,120.0,100.0,base
Wheat spring,FTM Region 12 - Wheat spring - Conventional Tillage,False,base,117.0,16.0,0.00854701,10513355.20334524,89857.73678073,53891.25910328,21237.01717654,5888.03352443,5182.38584099,975.0,1478.68221639,1205.3589191,3371.19916929,28.81366811,6.25076387,5.66379937,0.965112,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,12.00333182,0.0004,12.00293182,0.18415842,-1.0,6.44756836,7.375,3.25,2.0,2,0.6984127,157.0,33.0,8.0,base
Wheat spring,FTM Region 12 - Wheat spring - Reduced Tillage,False,base,117.0,16.0,0.00854701,10220502.41021743,87354.72145485,53891.25910328,21237.01717654,3385.01819855,5182.38584099,975.0,1478.68221639,1205.3589191,3323.19744783,28.40339699,6.25076387,5.66379937,0.55484088,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,0.03777152,0.0003,0.03747152,0.18415842,0.37,7.87797852,7.875,3.25,2.0,7.5,0.73544974,157.0,33.0,8.0,base
Wheat spring,FTM Region 12 - Wheat spring - No till,False,base,117.0,16.0,0.00854701,10160688.18957858,86843.48879982,53891.25910328,21237.01717654,2873.78554351,5182.38584099,975.0,1478.68221639,1205.3589191,3313.39325397,28.31960046,6.25076387,5.66379937,0.47104435,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,0.0005,0.0005,0.0,0.18415842,0.529,8.18076172,8.0,3.25,2.0,10,0.77248677,157.0,33.0,8.0,base
Corn silage,FTM Region 12 - Corn silage - Conventional Tillage - Cover Crop,True,base,25.0,0.0,0.04,13465464.89422519,538618.59576901,225184.72092465,221221.21247254,28852.95870816,24253.56573581,0.0,155.82542784,38950.3125,6120.79080754,244.8316323,25.76676356,58.99851911,4.72931015,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,2.76872483,0.0052,2.76352483,1.656,-0.299,6.25469238,6.9375,3.25,2.0,2,0.78730159,127.0,11.0,1.0,base
Corn silage,FTM Region 12 - Corn silage - No till - Cover Crop,True,base,25.0,0.0,0.04,13158991.0409519,526359.64163808,225184.72092465,221221.21247254,16594.00457723,24253.56573581,0.0,155.82542784,38950.3125,6070.55644788,242.82225792,25.76676356,58.99851911,2.71993576,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,0.17680621,0.0064,0.17040621,1.656,0.446,7.67897949,6.9375,3.25,2.0,7.5,0.86137566,127.0,11.0,1.0,base
Corn silage,FTM Region 12 - Corn silage - Reduced Tillage - Cover Crop,True,base,25.0,0.0,0.04,13315929.34262808,532637.17370512,225184.72092465,221221.21247254,22871.53664428,24253.56573581,0.0,155.82542784,38950.3125,6096.28032287,243.85121291,25.76676356,58.99851911,3.74889076,3.97544,0.0,95.0,0.0,0.05227912,6.384375,49.92494536,1.86713174,0.0056,1.86153174,1.656,0.039,7.16158203,7.0,3.25,2.0,5,0.82433862,127.0,11.0,1.0,base
Potatoes,FTM Region 12 - Potatoes - Conventional Tillage - Cover Crop,True,base,350.0,150.0,0.00285714,15515015.49548225,44328.61570138,26390.90591195,5725.18665819,3129.03670485,1732.39755256,0.0,5413.16692186,1937.92195197,6733.62312322,19.23892321,3.47912082,1.52687679,0.51288276,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,14.12475025,0.0078,14.11695025,0.075,-1.0,6.25469238,6.9375,3.25,2.0,2,0.78730159,200.0,120.0,100.0,base
Potatoes,FTM Region 12 - Potatoes - No till - Cover Crop,True,base,350.0,150.0,0.00285714,14961585.89957135,42747.38828449,26390.90591195,5725.18665819,1547.80928796,1732.39755256,0.0,5413.16692186,1937.92195197,6642.91006215,18.97974303,3.47912082,1.52687679,0.25370258,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,26.99249581,0.0072,26.98529581,0.075,-1.0,7.67897949,6.9375,3.25,2.0,7.5,0.86137566,200.0,120.0,100.0,base
Potatoes,FTM Region 12 - Potatoes - Reduced Tillage - Cover Crop,True,base,350.0,150.0,0.00285714,15169751.23179466,43342.14637656,26390.90591195,5725.18665819,2142.56738003,1732.39755256,0.0,5413.16692186,1937.92195197,6677.03059823,19.07723028,3.47912082,1.52687679,0.35118983,0.28396,0.0,8.0,0.0,1.06744899,0.31764624,4.05098761,15.35710269,0.0027,15.35440269,0.075,-1.0,6.25469238,6.9375,3.25,2.0,2,0.82433862,200.0,120.0,100.0,base
Wheat spring,FTM Region 12 - Wheat spring - Conventional Tillage - Cover Crop,True,base,117.0,16.0,0.00854701,10529493.1985176,89995.6683634,53891.25910328,21237.01717654,6025.9651071,5182.38584099,975.0,1478.68221639,1205.3589191,3373.84436021,28.83627658,6.25076387,5.66379937,0.98772047,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,5.65493128,0.0003,5.65463128,0.18415842,-0.547,6.53022949,7.5625,3.25,2.0,2,0.78730159,157.0,33.0,8.0,base
Wheat spring,FTM Region 12 - Wheat spring - No till - Cover Crop,True,base,117.0,16.0,0.00854701,10205548.85505771,87226.91329109,53891.25910328,21237.01717654,3257.21003479,5182.38584099,975.0,1478.68221639,1205.3589191,3320.74639937,28.38244786,6.25076387,5.66379937,0.53389175,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,0.0005,0.0005,0.0,0.18415842,0.759,8.18076172,8.0,3.25,2.0,10,0.86137566,157.0,33.0,8.0,base
Wheat spring,FTM Region 12 - Wheat spring - Reduced Tillage - Cover Crop,True,base,117.0,16.0,0.00854701,10236640.40538979,87492.65303752,53891.25910328,21237.01717654,3522.94978122,5182.38584099,975.0,1478.68221639,1205.3589191,3325.84263875,28.42600546,6.25076387,5.66379937,0.57744935,0.84945299,0.26002731,2.4884563,0.0,0.39551392,0.19757129,11.74297106,0.0003,0.0003,0.0,0.18415842,0.429,7.89124512,7.9375,3.25,2.0,7.5,0.82433862,157.0,33.0,8.0,base
